"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","HS6 ID","HS6","Year","Trade Value"
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",6330410,"Lip make-up preparations",2019,4331848492
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",6330420,"Eye make-up preparations",2019,4792301219
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",6330430,"Manicure or pedicure preparations",2019,1383674671
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",6330491,"Powders, for skin care and make-up",2019,2422532453
6,"Chemical Products",633,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",63304,"Beauty Products",6330499,"Beauty, makeup and suntan preparations nes",2019,43746684602
